Grid	Lat/Long hddd°mm.mmm'
Datum	WGS 84

Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	Bicicleta eléctrica a la hora del almuerzo	29/04/2024 12:32:29 p. m. 	0:14:29	7.7 km	32 kph	

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course

Trackpoint	N6 15.923 W75 34.506	29/04/2024 12:32:29 p. m. 	1466 m
Trackpoint	N6 15.924 W75 34.507	29/04/2024 12:32:30 p. m. 	1466 m			2 m	0:00:01	7 kph	331° true
Trackpoint	N6 15.924 W75 34.507	29/04/2024 12:32:31 p. m. 	1466 m			1 m	0:00:01	3 kph	315° true
Trackpoint	N6 15.924 W75 34.507	29/04/2024 12:32:32 p. m. 	1466 m			1 m	0:00:01	3 kph	310° true
Trackpoint	N6 15.925 W75 34.508	29/04/2024 12:32:33 p. m. 	1466 m			1 m	0:00:01	3 kph	306° true
Trackpoint	N6 15.925 W75 34.508	29/04/2024 12:32:34 p. m. 	1466 m			1 m	0:00:01	3 kph	310° true
Trackpoint	N6 15.925 W75 34.508	29/04/2024 12:32:35 p. m. 	1466 m			1 m	0:00:01	3 kph	315° true
Trackpoint	N6 15.926 W75 34.509	29/04/2024 12:32:36 p. m. 	1466 m			1 m	0:00:01	3 kph	306° true
Trackpoint	N6 15.926 W75 34.509	29/04/2024 12:32:37 p. m. 	1466 m			1 m	0:00:01	3 kph	310° true
Trackpoint	N6 15.926 W75 34.510	29/04/2024 12:32:38 p. m. 	1466 m			1 m	0:00:01	3 kph	310° true
Trackpoint	N6 15.926 W75 34.510	29/04/2024 12:32:39 p. m. 	1466 m			1 m	0:00:01	3 kph	306° true
Trackpoint	N6 15.927 W75 34.510	29/04/2024 12:32:40 p. m. 	1466 m			1 m	0:00:01	3 kph	315° true
Trackpoint	N6 15.925 W75 34.512	29/04/2024 12:32:41 p. m. 	1466 m			5 m	0:00:01	19 kph	229° true
Trackpoint	N6 15.922 W75 34.512	29/04/2024 12:32:42 p. m. 	1466 m			5 m	0:00:01	18 kph	179° true
Trackpoint	N6 15.915 W75 34.511	29/04/2024 12:32:43 p. m. 	1466 m			13 m	0:00:01	48 kph	171° true
Trackpoint	N6 15.910 W75 34.511	29/04/2024 12:32:44 p. m. 	1466 m			10 m	0:00:01	37 kph	176° true
