Number;Header;Position;Time;Altitude;Leg Length;Leg Time;Leg Speed;Leg Course
1;Trackpoint;N6 15.924 W75 34.507;29/04/2024 12:32;1466;2;0:00:01;7 kph;331ｰ true
2;Trackpoint;N6 15.924 W75 34.507;29/04/2024 12:32;1466;1;0:00:01;3 kph;315ｰ true
3;Trackpoint;N6 15.924 W75 34.507;29/04/2024 12:32;1466;1;0:00:01;3 kph;310ｰ true
4;Trackpoint;N6 15.925 W75 34.508;29/04/2024 12:32;1466;1;0:00:01;3 kph;306ｰ true
5;Trackpoint;N6 15.925 W75 34.508;29/04/2024 12:32;1466;1;0:00:01;3 kph;310ｰ true
6;Trackpoint;N6 15.925 W75 34.508;29/04/2024 12:32;1466;1;0:00:01;3 kph;315ｰ true
7;Trackpoint;N6 15.926 W75 34.509;29/04/2024 12:32;1466;1;0:00:01;3 kph;306ｰ true
8;Trackpoint;N6 15.926 W75 34.509;29/04/2024 12:32;1466;1;0:00:01;3 kph;310ｰ true
9;Trackpoint;N6 15.926 W75 34.510;29/04/2024 12:32;1466;1;0:00:01;3 kph;310ｰ true
10;Trackpoint;N6 15.926 W75 34.510;29/04/2024 12:32;1466;1;0:00:01;3 kph;306ｰ true
11;Trackpoint;N6 15.927 W75 34.510;29/04/2024 12:32;1466;1;0:00:01;3 kph;315ｰ true
12;Trackpoint;N6 15.925 W75 34.512;29/04/2024 12:32;1466;5;0:00:01;19 kph;229ｰ true
13;Trackpoint;N6 15.922 W75 34.512;29/04/2024 12:32;1466;5;0:00:01;18 kph;179ｰ true
14;Trackpoint;N6 15.915 W75 34.511;29/04/2024 12:32;1466;13;0:00:01;48 kph;171ｰ true
15;Trackpoint;N6 15.910 W75 34.511;29/04/2024 12:32;1466;10;0:00:01;37 kph;176ｰ true
16;Trackpoint;N6 15.904 W75 34.510;29/04/2024 12:32;1466;11;0:00:01;40 kph;175ｰ true
17;Trackpoint;N6 15.898 W75 34.510;29/04/2024 12:32;1466;11;0:00:01;40 kph;179ｰ true
18;Trackpoint;N6 15.892 W75 34.510;29/04/2024 12:32;1466;12;0:00:01;42 kph;180ｰ true
19;Trackpoint;N6 15.885 W75 34.510;29/04/2024 12:32;1466;12;0:00:01;42 kph;179ｰ true
20;Trackpoint;N6 15.880 W75 34.510;29/04/2024 12:32;1466;11;0:00:01;38 kph;183ｰ true
21;Trackpoint;N6 15.873 W75 34.510;29/04/2024 12:32;1466;11;0:00:01;41 kph;180ｰ true
22;Trackpoint;N6 15.868 W75 34.511;29/04/2024 12:32;1466;11;0:00:01;39 kph;184ｰ true
23;Trackpoint;N6 15.862 W75 34.511;29/04/2024 12:32;1466;11;0:00:01;40 kph;183ｰ true
24;Trackpoint;N6 15.855 W75 34.511;29/04/2024 12:32;1465;12;0:00:01;41 kph;176ｰ true
25;Trackpoint;N6 15.849 W75 34.510;29/04/2024 12:32;1465;11;0:00:01;41 kph;174ｰ true
26;Trackpoint;N6 15.844 W75 34.510;29/04/2024 12:32;1465;11;0:00:01;38 kph;176ｰ true
27;Trackpoint;N6 15.838 W75 34.509;29/04/2024 12:32;1465;10;0:00:01;35 kph;176ｰ true
28;Trackpoint;N6 15.833 W75 34.509;29/04/2024 12:32;1465;9;0:00:01;33 kph;176ｰ true
29;Trackpoint;N6 15.829 W75 34.508;29/04/2024 12:32;1465;8;0:00:01;30 kph;169ｰ true
30;Trackpoint;N6 15.825 W75 34.508;29/04/2024 12:32;1465;8;0:00:01;29 kph;176ｰ true
31;Trackpoint;N6 15.820 W75 34.508;29/04/2024 12:33;1466;8;0:00:01;29 kph;175ｰ true
32;Trackpoint;N6 15.816 W75 34.507;29/04/2024 12:33;1466;9;0:00:01;32 kph;177ｰ true
33;Trackpoint;N6 15.810 W75 34.507;29/04/2024 12:33;1466;10;0:00:01;36 kph;174ｰ true
34;Trackpoint;N6 15.804 W75 34.507;29/04/2024 12:33;1466;11;0:00:01;40 kph;179ｰ true
35;Trackpoint;N6 15.798 W75 34.507;29/04/2024 12:33;1466;12;0:00:01;44 kph;182ｰ true
36;Trackpoint;N6 15.791 W75 34.507;29/04/2024 12:33;1466;13;0:00:01;45 kph;177ｰ true
37;Trackpoint;N6 15.784 W75 34.506;29/04/2024 12:33;1466;13;0:00:01;47 kph;178ｰ true
38;Trackpoint;N6 15.777 W75 34.505;29/04/2024 12:33;1466;13;0:00:01;47 kph;167ｰ true
39;Trackpoint;N6 15.770 W75 34.503;29/04/2024 12:33;1466;13;0:00:01;47 kph;167ｰ true
40;Trackpoint;N6 15.763 W75 34.502;29/04/2024 12:33;1466;13;0:00:01;47 kph;166ｰ true
41;Trackpoint;N6 15.757 W75 34.499;29/04/2024 12:33;1466;13;0:00:01;47 kph;159ｰ true
42;Trackpoint;N6 15.750 W75 34.496;29/04/2024 12:33;1467;13;0:00:01;46 kph;157ｰ true
43;Trackpoint;N6 15.745 W75 34.493;29/04/2024 12:33;1467;12;0:00:01;45 kph;151ｰ true
44;Trackpoint;N6 15.739 W75 34.490;29/04/2024 12:33;1468;12;0:00:01;44 kph;147ｰ true
45;Trackpoint;N6 15.734 W75 34.486;29/04/2024 12:33;1468;12;0:00:01;43 kph;144ｰ true
46;Trackpoint;N6 15.729 W75 34.482;29/04/2024 12:33;1469;12;0:00:01;43 kph;145ｰ true
47;Trackpoint;N6 15.723 W75 34.478;29/04/2024 12:33;1469;12;0:00:01;43 kph;147ｰ true
48;Trackpoint;N6 15.718 W75 34.475;29/04/2024 12:33;1470;12;0:00:01;43 kph;145ｰ true
49;Trackpoint;N6 15.713 W75 34.471;29/04/2024 12:33;1470;12;0:00:01;42 kph;146ｰ true
50;Trackpoint;N6 15.708 W75 34.467;29/04/2024 12:33;1470;12;0:00:01;43 kph;143ｰ true
51;Trackpoint;N6 15.703 W75 34.463;29/04/2024 12:33;1471;12;0:00:01;42 kph;141ｰ true
52;Trackpoint;N6 15.698 W75 34.459;29/04/2024 12:33;1471;11;0:00:01;41 kph;141ｰ true
53;Trackpoint;N6 15.693 W75 34.456;29/04/2024 12:33;1472;12;0:00:01;42 kph;144ｰ true
54;Trackpoint;N6 15.687 W75 34.452;29/04/2024 12:33;1472;12;0:00:01;43 kph;145ｰ true
55;Trackpoint;N6 15.682 W75 34.448;29/04/2024 12:33;1472;12;0:00:01;44 kph;142ｰ true
56;Trackpoint;N6 15.677 W75 34.444;29/04/2024 12:33;1473;12;0:00:01;43 kph;143ｰ true
57;Trackpoint;N6 15.672 W75 34.440;29/04/2024 12:33;1473;12;0:00:01;43 kph;142ｰ true
58;Trackpoint;N6 15.667 W75 34.436;29/04/2024 12:33;1473;12;0:00:01;45 kph;142ｰ true
59;Trackpoint;N6 15.661 W75 34.432;29/04/2024 12:33;1474;13;0:00:01;46 kph;143ｰ true
60;Trackpoint;N6 15.656 W75 34.428;29/04/2024 12:33;1474;13;0:00:01;46 kph;143ｰ true
61;Trackpoint;N6 15.650 W75 34.423;29/04/2024 12:33;1474;13;0:00:01;46 kph;142ｰ true
62;Trackpoint;N6 15.645 W75 34.419;29/04/2024 12:33;1474;13;0:00:01;48 kph;142ｰ true
63;Trackpoint;N6 15.639 W75 34.415;29/04/2024 12:33;1474;13;0:00:01;48 kph;142ｰ true
64;Trackpoint;N6 15.633 W75 34.411;29/04/2024 12:33;1474;13;0:00:01;48 kph;145ｰ true
65;Trackpoint;N6 15.627 W75 34.406;29/04/2024 12:33;1474;13;0:00:01;47 kph;144ｰ true
66;Trackpoint;N6 15.622 W75 34.402;29/04/2024 12:33;1474;13;0:00:01;47 kph;144ｰ true
67;Trackpoint;N6 15.616 W75 34.398;29/04/2024 12:33;1474;13;0:00:01;46 kph;144ｰ true
68;Trackpoint;N6 15.611 W75 34.394;29/04/2024 12:33;1475;13;0:00:01;46 kph;145ｰ true
69;Trackpoint;N6 15.605 W75 34.390;29/04/2024 12:33;1475;12;0:00:01;45 kph;144ｰ true
70;Trackpoint;N6 15.600 W75 34.386;29/04/2024 12:33;1475;12;0:00:01;45 kph;146ｰ true
71;Trackpoint;N6 15.595 W75 34.382;29/04/2024 12:33;1475;12;0:00:01;43 kph;143ｰ true
72;Trackpoint;N6 15.589 W75 34.379;29/04/2024 12:33;1475;12;0:00:01;44 kph;147ｰ true
73;Trackpoint;N6 15.584 W75 34.375;29/04/2024 12:33;1475;12;0:00:01;45 kph;141ｰ true
74;Trackpoint;N6 15.578 W75 34.371;29/04/2024 12:33;1474;13;0:00:01;45 kph;149ｰ true
75;Trackpoint;N6 15.572 W75 34.367;29/04/2024 12:33;1474;13;0:00:01;45 kph;145ｰ true
