Number	Header	Position	Time	Altitude	Leg Length	Leg Time	Leg Speed	Leg Course
1	Trackpoint	N6 15.924 W75 34.507	29/04/2024 12:32	1466	2	0:00:01	7 kph	331° true
2	Trackpoint	N6 15.924 W75 34.507	29/04/2024 12:32	1466	1	0:00:01	3 kph	315° true
3	Trackpoint	N6 15.924 W75 34.507	29/04/2024 12:32	1466	1	0:00:01	3 kph	310° true
4	Trackpoint	N6 15.925 W75 34.508	29/04/2024 12:32	1466	1	0:00:01	3 kph	306° true
5	Trackpoint	N6 15.925 W75 34.508	29/04/2024 12:32	1466	1	0:00:01	3 kph	310° true
6	Trackpoint	N6 15.925 W75 34.508	29/04/2024 12:32	1466	1	0:00:01	3 kph	315° true
7	Trackpoint	N6 15.926 W75 34.509	29/04/2024 12:32	1466	1	0:00:01	3 kph	306° true
8	Trackpoint	N6 15.926 W75 34.509	29/04/2024 12:32	1466	1	0:00:01	3 kph	310° true
9	Trackpoint	N6 15.926 W75 34.510	29/04/2024 12:32	1466	1	0:00:01	3 kph	310° true
10	Trackpoint	N6 15.926 W75 34.510	29/04/2024 12:32	1466	1	0:00:01	3 kph	306° true
11	Trackpoint	N6 15.927 W75 34.510	29/04/2024 12:32	1466	1	0:00:01	3 kph	315° true
12	Trackpoint	N6 15.925 W75 34.512	29/04/2024 12:32	1466	5	0:00:01	19 kph	229° true
13	Trackpoint	N6 15.922 W75 34.512	29/04/2024 12:32	1466	5	0:00:01	18 kph	179° true
14	Trackpoint	N6 15.915 W75 34.511	29/04/2024 12:32	1466	13	0:00:01	48 kph	171° true
15	Trackpoint	N6 15.910 W75 34.511	29/04/2024 12:32	1466	10	0:00:01	37 kph	176° true
16	Trackpoint	N6 15.904 W75 34.510	29/04/2024 12:32	1466	11	0:00:01	40 kph	175° true
17	Trackpoint	N6 15.898 W75 34.510	29/04/2024 12:32	1466	11	0:00:01	40 kph	179° true
18	Trackpoint	N6 15.892 W75 34.510	29/04/2024 12:32	1466	12	0:00:01	42 kph	180° true
19	Trackpoint	N6 15.885 W75 34.510	29/04/2024 12:32	1466	12	0:00:01	42 kph	179° true
20	Trackpoint	N6 15.880 W75 34.510	29/04/2024 12:32	1466	11	0:00:01	38 kph	183° true
21	Trackpoint	N6 15.873 W75 34.510	29/04/2024 12:32	1466	11	0:00:01	41 kph	180° true
22	Trackpoint	N6 15.868 W75 34.511	29/04/2024 12:32	1466	11	0:00:01	39 kph	184° true
23	Trackpoint	N6 15.862 W75 34.511	29/04/2024 12:32	1466	11	0:00:01	40 kph	183° true
24	Trackpoint	N6 15.855 W75 34.511	29/04/2024 12:32	1465	12	0:00:01	41 kph	176° true
25	Trackpoint	N6 15.849 W75 34.510	29/04/2024 12:32	1465	11	0:00:01	41 kph	174° true
26	Trackpoint	N6 15.844 W75 34.510	29/04/2024 12:32	1465	11	0:00:01	38 kph	176° true
27	Trackpoint	N6 15.838 W75 34.509	29/04/2024 12:32	1465	10	0:00:01	35 kph	176° true
28	Trackpoint	N6 15.833 W75 34.509	29/04/2024 12:32	1465	9	0:00:01	33 kph	176° true
29	Trackpoint	N6 15.829 W75 34.508	29/04/2024 12:32	1465	8	0:00:01	30 kph	169° true
30	Trackpoint	N6 15.825 W75 34.508	29/04/2024 12:32	1465	8	0:00:01	29 kph	176° true
31	Trackpoint	N6 15.820 W75 34.508	29/04/2024 12:33	1466	8	0:00:01	29 kph	175° true
32	Trackpoint	N6 15.816 W75 34.507	29/04/2024 12:33	1466	9	0:00:01	32 kph	177° true
33	Trackpoint	N6 15.810 W75 34.507	29/04/2024 12:33	1466	10	0:00:01	36 kph	174° true
34	Trackpoint	N6 15.804 W75 34.507	29/04/2024 12:33	1466	11	0:00:01	40 kph	179° true
35	Trackpoint	N6 15.798 W75 34.507	29/04/2024 12:33	1466	12	0:00:01	44 kph	182° true
36	Trackpoint	N6 15.791 W75 34.507	29/04/2024 12:33	1466	13	0:00:01	45 kph	177° true
37	Trackpoint	N6 15.784 W75 34.506	29/04/2024 12:33	1466	13	0:00:01	47 kph	178° true
38	Trackpoint	N6 15.777 W75 34.505	29/04/2024 12:33	1466	13	0:00:01	47 kph	167° true
39	Trackpoint	N6 15.770 W75 34.503	29/04/2024 12:33	1466	13	0:00:01	47 kph	167° true
40	Trackpoint	N6 15.763 W75 34.502	29/04/2024 12:33	1466	13	0:00:01	47 kph	166° true
41	Trackpoint	N6 15.757 W75 34.499	29/04/2024 12:33	1466	13	0:00:01	47 kph	159° true
42	Trackpoint	N6 15.750 W75 34.496	29/04/2024 12:33	1467	13	0:00:01	46 kph	157° true
43	Trackpoint	N6 15.745 W75 34.493	29/04/2024 12:33	1467	12	0:00:01	45 kph	151° true
44	Trackpoint	N6 15.739 W75 34.490	29/04/2024 12:33	1468	12	0:00:01	44 kph	147° true
